recipe_id,description,difficulty,cook_time,category_id,num_ingredients,price,rating,calories
salsa-barbacoa-ahumada,b'Salsa barbacoa ahumada',1,12,salsas-y-guarniciones,10,2,,496.91
rissoto-de-algas-deshidratadas,b'Rissoto de algas con vegetales deshidratados',2,28,arroces,5,1,,155.67
tronco-de-nata-y-trufa,b'Tronco de nata y trufa',1,14,dulces-y-reposteria,8,1,,853.15
pisto-de-verduras-escondido-en-tomate-frito,"b'Pisto de verduras, escondido en tomate frito'",1,15,salsas-y-guarniciones,10,1,,125.85
crepes-dulces-ana,b'Crep\xc3\xaas Ana',1,0,dulces-y-reposteria,6,1,5.0,193.14
harina-de-algarroba,b'Harina de algarroba',2,0,masas,2,1,,
bunuelos-de-hojaldre-rellenos-de-crema,b'Bu\xc3\xb1uelos de hojaldre rellenos de crema',1,11,dulces-y-reposteria,8,1,,1196.39
bizcocho-moreno-de-limon,b'Bizcocho moreno de lim\xc3\xb3n',1,6,dulces-y-reposteria,7,1,4.0,2424.42
lentejas-con-quinoa-y-verduritas-deshidratadas,b'Lentejas con quinoa y verduritas deshidratadas',1,32,potajes-legumbres,7,1,,216.75
rissoto-toscana-con-vegetales-deshidratados,b'Rissoto Toscana con tomate y albahaca desidratada',2,24,arroces,5,1,,155.67
crema-chantilly-para-rellenos,b'Crema chantilly (para rellenos)',2,7,dulces-y-reposteria,4,1,,519.27
crema-de-cacahuete-sana,b'Crema de cacahuete sana',1,5,dulces-y-reposteria,1,1,,2835.0
bizcocho-de-coco-para-tarta-de-cumpleanos,b'Bizcocho de aceite de  coco',1,9,dulces-y-reposteria,8,1,,349.2
gazpacho-de-beatriz,b'Gazpacho de beatriz',1,4,verduras-y-hortalizas,8,1,,197.91
sofrito-para-batch-cooking,b'Fondo de batch cooking',2,34,potajes-legumbres,16,2,,2348.23
bollitos-suizos,b'Bollitos suizos',1,5,dulces-y-reposteria,10,1,1.0,244.43
petit-de-chocolate-realfooder,b'Petit de chocolate realfooder',1,5,dulces-y-reposteria,4,1,,471.16
gazpacho-de-oscar,b'Gazpacho de Oscar',1,4,cremas-caldos-sopas,12,1,,209.21
arroz-con-leche-vainilla-y-coco,"b'Arroz con leche, vainilla y coco.'",1,45,arroces,9,1,,362.02
golpes-de-turbo,b'Golpes de turbo',1,3,otras,0,1,,
pan-blanco-noa,b'Pan blanco NOA',1,7,masas,6,0,,2160.95
magdalenas-de-halloween,b'Magdalenas de halloween',1,25,dulces-y-reposteria,7,1,,148.34
pan-de-emergencia-en-bolsa-de-asar,b'Pan de emergencia en bolsa de asar',1,4,masas,5,1,3.0,203.6
trucroquetas,b'Croquetas con truco',1,13,aperitivos-tapas,0,1,5.0,
bizcocho-de-calabaza-y-yogur,b'Bizcocho de calabaza y yogur',1,40,dulces-y-reposteria,9,1,,244.53
sofrito-para-legumbres,b'Sofrito para legumbres',1,50,cremas-caldos-sopas,10,1,,245.46
pate-casero-para-gatos,b'Pat\xc3\xa9 casero para gatos',1,7,cremas-caldos-sopas,5,1,,105.97
helado-de-yogurt-y-filipinos,b'Helado de yogur y Filipinos',1,1,sorbetes-y-helados,4,2,2.0,321.5
coca-san-juan-de-chocolate,b'Coca San Juan de chocolate',1,5,dulces-y-reposteria,10,1,,2708.23
arros-en-verdures-i-bacalla-per-a-hvala,b'Arr\xc3\xb2s en verdures i bacall\xc3\xa0 per a Hvala',1,22,arroces,8,1,,
pan-del-bueno-en-cocotte,b'Pan del bueno en cocotte',1,4,masas,5,1,3.0,250.25
jarabe-de-goma,b'Jarabe de goma',1,25,bebidas-y-cocktails,6,1,5.0,246.75
pan-de-urgencia-en-cocotte,b'Pan de urgencia en cocotte',1,3,masas,4,1,5.0,229.32
mermelada-de-cerezas-con-azucar-moreno,b'Mermelada de cerezas con az\xc3\xbacar moreno',1,26,dulces-y-reposteria,3,1,,61.36
